source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
20323854,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20323854/,2880.0,1LDK,57.54,1968,3.0,5.0,東京都世田谷区成城１-9-1 [ ■ 周辺環境 ],成城学園前駅,10.0,30
20211336,https://suumo.jp/ms/chuko/tokyo/sc_taito/nc_20211336/,2780.0,3LDK,57.96,1971,7.0,13.0,東京都台東区寿３ [ ■ 周辺環境 ],田原町駅,2.0,28
20264245,https://suumo.jp/ms/chuko/tokyo/sc_taito/nc_20264245/,2780.0,3LDK,57.96,1971,7.0,13.0,東京都台東区寿３ [ ■ 周辺環境 ],田原町駅,2.0,30
20323918,https://suumo.jp/ms/chuko/tokyo/sc_taito/nc_20323918/,2780.0,3LDK,57.96,1971,7.0,13.0,東京都台東区寿３-9-5 [ ■ 周辺環境 ],田原町駅,2.0,33
20179214,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20179214/,2980.0,3LDK,62.1,1979,1.0,6.0,東京都足立区江北４-29-12 [ ■ 周辺環境 ],江北駅,4.0,26
20193280,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20193280/,2899.0,2LDK,53.76,1996,7.0,7.0,東京都足立区鹿浜６ [ ■ 周辺環境 ],西新井大師西駅,13.0,23
20264121,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20264121/,2990.0,3LDK,63.35,1991,2.0,7.0,東京都足立区大谷田２ [ ■ 周辺環境 ],北綾瀬駅,19.0,28
20293487,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20293487/,2980.0,3LDK,65.88,1992,4.0,14.0,東京都足立区西保木間３ [ ■ 周辺環境 ],竹ノ塚駅,23.0,29
20309660,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20309660/,2898.0,2LDK,50.28,1983,2.0,4.0,東京都足立区綾瀬６ [ ■ 周辺環境 ],北綾瀬駅,10.0,28
20162796,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20162796/,2990.0,2LDK,44.55,1982,2.0,5.0,東京都板橋区高島平１ [ ■ 周辺環境 ],西台駅,5.0,23
20314852,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20314852/,2950.0,3DK,49.68,1982,3.0,5.0,東京都板橋区泉町13-14 [ ■ 周辺環境 ],本蓮沼駅,6.0,30
20324609,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20324609/,2980.0,2LDK,54.27,1978,7.0,7.0,東京都板橋区坂下１-39-14 [ ■ 周辺環境 ],蓮根駅,7.0,24
20354035,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20354035/,2990.0,2LDK,44.55,1982,2.0,5.0,東京都板橋区高島平１-28-10 [ ■ 周辺環境 ],西台駅,5.0,25
79000458,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79000458/,2990.0,1LDK,42.49,1972,6.0,6.0,東京都板橋区上板橋２ [ ■ 周辺環境 ],上板橋駅,5.0,22
79091864,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79091864/,2980.0,2LDK,53.31,1984,4.0,5.0,東京都板橋区若木２ [ ■ 周辺環境 ],東武練馬駅,10.0,21
20332716,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20332716/,2980.0,4LDK,75.47,1984,3.0,11.0,東京都葛飾区水元２ [ ■ 周辺環境 ],京成金町駅,37.0,29
78799669,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78799669/,2980.0,3LDK,68.01,1984,2.0,5.0,東京都葛飾区柴又１ [ ■ 周辺環境 ],柴又駅,3.0,27
20208261,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20208261/,2980.0,2LDK,49.25,1981,3.0,5.0,東京都中野区鷺宮４ [ ■ 周辺環境 ],鷺ノ宮駅,6.0,25
20324134,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20324134/,2980.0,2LDK,49.25,1981,3.0,5.0,東京都中野区鷺宮４-44-9 [ ■ 周辺環境 ],鷺ノ宮駅,6.0,32
78565408,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78565408/,2998.0,3DK,60.34,1982,4.0,6.0,東京都練馬区豊玉北２ [ ■ 周辺環境 ],新江古田駅,5.0,28
79003014,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79003014/,2998.0,3DK,60.34,1982,4.0,6.0,東京都練馬区豊玉北２ [ ■ 周辺環境 ],新江古田駅,5.0,25
20118095,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20118095/,2980.0,2DK,36.48,1965,4.0,6.0,東京都世田谷区三宿１ [ ■ 周辺環境 ],三軒茶屋駅,10.0,16
