level_0,source_id,url,price_man_yen,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,rooms_num,base_layout,luxury_bathroom,luxury_bedroom,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_kitchen,brightness_living_room,brightness_toilet,condition_bathroom,condition_bedroom,condition_kitchen,condition_living_room,condition_toilet,latitude,longitude,station_avg_price_man_yen,station_avg_price_per_sqm,station_listing_count,building_period,predicted_price,deal
45,78649899,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_78649899/,2480.0,42.53,1973,3.0,4.0,東京都世田谷区桜丘４,千歳船橋駅,15.0,29,1,LDK,0.425,0.55,0.425,,,0.6925,0.75,0.6875,,,0.88,0.85,0.85,,,35.640236,139.622314,6886.75,92.17850913194675,16,pre 1981,2480.0,Standard Price
46,20355018,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20355018/,2500.0,31.9,1977,7.0,8.0,東京都渋谷区幡ヶ谷２,幡ヶ谷駅,5.0,21,1,DK,0.5499999999999999,0.475,0.425,,,0.7166666666666667,0.75,0.7575000000000001,,,0.9166666666666666,0.875,0.88,,,35.677849,139.675079,7113.5,131.96983200215445,8,pre 1981,2500.0,Standard Price
47,78309826,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_78309826/,2680.0,26.35,1979,3.0,10.0,東京都品川区西五反田２-15-2,五反田駅,4.0,34,1,DK,0.2,0.65,0.4600000000000001,,,0.65,0.85,0.726,,,0.8,0.95,0.874,,,35.626148,139.720779,13310.190476190475,188.78249587449133,21,pre 1981,2680.0,Standard Price
48,20060728,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20060728/,2480.0,36.54,1969,3.0,7.0,東京都杉並区西荻北４,西荻窪駅,6.0,32,1,LDK,0.525,0.45,0.45,0.4,,0.65,0.75,0.75,0.8,,0.91,0.85,0.8999999999999999,0.85,,35.707523,139.595367,6321.818181818182,109.64744163963702,11,pre 1981,2480.0,Standard Price
49,20040373,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20040373/,2790.0,37.72,2019,2.0,9.0,東京都足立区入谷２,舎人駅,12.0,27,1,LDK,0.604,,,,,0.75,,,,,0.95,,,,,35.808769,139.764252,2790.0,73.966065747614,2,post 2000,2790.0,Standard Price
50,20112549,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20112549/,2698.0,60.75,1985,1.0,5.0,東京都足立区栗原４,西新井駅,14.0,28,2,LDK,0.375,,0.45,0.45,0.3,0.725,,0.765,0.75,0.5,0.825,,0.885,0.9425,0.85,35.785393,139.785461,4627.166666666667,68.4464078081875,6,1981 to 2000,2698.0,Standard Price
51,20209274,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20209274/,2890.0,60.18,1988,4.0,11.0,東京都足立区一ツ家２,六町駅,15.0,33,3,LDK,0.7,0.55,0.5499999999999999,0.65,0.55,0.85,0.85,0.7999999999999999,0.85,0.72,0.95,0.95,0.9,0.95,0.92,35.783318,139.813446,2890.0,48.0225988700565,1,1981 to 2000,2890.0,Standard Price
52,20223754,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20223754/,2780.0,60.48,1983,9.0,11.0,東京都足立区小台１,足立小台駅,4.0,21,2,LDK,0.3,0.3999999999999999,0.3,0.45,,0.65,0.7333333333333334,0.65,0.7575000000000001,,0.85,0.85,0.8,0.8625,,35.755444,139.771561,2593.333333333333,44.02634168346369,3,1981 to 2000,2781.0,Good Deal
53,78066270,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78066270/,2699.0,59.13,1985,4.0,6.0,東京都足立区綾瀬７,北綾瀬駅,10.0,24,2,LDK,0.4399999999999999,0.4,0.5750000000000001,,0.35,0.7600000000000001,0.825,0.7833333333333333,,0.75,0.8166666666666668,0.8999999999999999,0.925,,0.95,35.773907,139.826538,3534.230769230769,58.6523266911045,13,1981 to 2000,2699.0,Standard Price
54,78385251,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385251/,2790.0,37.72,2019,2.0,9.0,東京都足立区入谷２-23-8,舎人駅,12.0,16,1,LDK,0.4,0.2,0.45,,0.35,0.55,0.6000000000000001,0.55,,0.65,0.85,0.7749999999999999,0.7849999999999999,,0.85,35.810207,139.763199,2790.0,73.966065747614,2,post 2000,2790.0,Standard Price
55,20348479,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20348479/,2888.0,83.64,1997,6.0,14.0,東京都荒川区荒川８,町屋駅,13.0,32,3,LDK,0.45,0.5166666666666667,0.6000000000000001,0.55,,0.7749999999999999,0.75,0.8,0.85,,0.8999999999999999,0.94,0.935,0.95,,35.740616,139.787552,4951.142857142857,90.04990872003717,7,1981 to 2000,2888.0,Standard Price
57,20138462,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20138462/,2800.0,40.5,1980,4.0,10.0,東京都板橋区大山金井町,大山駅,8.0,26,2,LDK,0.3833333333333333,0.37,0.5,,,0.75,0.786,0.7825,,,0.9166666666666666,0.898,0.9175,,,35.74622,139.705109,6697.5,101.70646320475464,16,pre 1981,2800.0,Standard Price
58,20354052,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20354052/,2780.0,52.2,1984,1.0,5.0,東京都板橋区相生町7-7,志村三丁目駅,7.0,31,2,LDK,0.15,0.5925,0.5833333333333334,,0.4,0.5,0.7825,0.7233333333333333,,0.75,0.8,0.935,0.9333333333333332,,0.9,35.776867,139.681381,4959.75,67.8873688656881,4,1981 to 2000,2781.0,Good Deal
59,20263767,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20263767/,2780.0,57.68,1980,7.0,7.0,東京都葛飾区柴又４,柴又駅,7.0,28,3,LDK,0.3833333333333333,0.5666666666666668,0.6,0.535,0.35,0.6833333333333332,0.8366666666666666,0.7666666666666666,0.7849999999999999,0.55,0.8833333333333333,0.9233333333333332,0.9,0.8999999999999999,0.85,35.753567,139.875244,3307.5,57.5267669786934,4,pre 1981,2780.0,Standard Price
60,20264317,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20264317/,2880.0,55.75,2008,2.0,7.0,東京都葛飾区堀切８,綾瀬駅,15.0,28,1,LDK,0.3,0.25,0.4666666666666666,0.55,0.3,0.59,0.735,0.6833333333333332,0.8,0.8,0.55,0.55,0.7833333333333333,0.875,0.85,35.757427,139.832031,4433.666666666667,73.88614154565363,15,post 2000,4339.0,Good Deal
61,77633566,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_77633566/,2780.0,60.23,1988,1.0,5.0,東京都葛飾区細田３,京成高砂駅,10.0,23,2,DK,0.35,0.35,0.35,,,0.6166666666666667,0.75,0.55,,,0.85,0.84,0.65,,,35.742496,139.867599,2780.0,46.15640046488461,1,1981 to 2000,2780.0,Standard Price
62,79014745,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_79014745/,2780.0,53.72,1981,2.0,7.0,東京都葛飾区東四つ木１-17-9,四ツ木駅,12.0,27,2,LDK,0.4833333333333334,0.45,0.6000000000000001,,,0.7266666666666667,0.8,0.8325,,,0.89,0.8999999999999999,0.9425,,,35.728905,139.842743,3880.0,71.12043840283367,4,1981 to 2000,4927.0,Good Deal
64,20312408,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20312408/,2799.0,37.89,1991,3.0,5.0,東京都練馬区南田中５,練馬高野台駅,6.0,27,1,LDK,0.45,0.55,0.55,0.35,0.3,0.685,0.8,0.75,0.75,0.7,0.85,0.9,0.95,0.9,0.85,35.737892,139.611938,5037.533333333334,84.19921665690465,15,1981 to 2000,2799.0,Standard Price
65,78582041,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78582041/,2780.0,39.62,1981,10.0,10.0,東京都練馬区桜台４-1-6,桜台駅,2.0,25,1,DK,0.45,0.5,0.45,0.65,0.45,0.75,0.8,0.75,0.75,0.65,0.875,0.8999999999999999,0.85,0.95,0.925,35.738194,139.660858,4741.25,84.4578525661523,8,1981 to 2000,2780.0,Standard Price
66,78818245,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78818245/,2880.0,53.36,1992,3.0,5.0,東京都練馬区谷原６,石神井公園駅,19.0,28,3,DK,0.55,0.45,0.5,,0.35,0.65,0.735,0.79,,0.55,0.95,0.885,0.93,,0.85,35.755665,139.610031,6441.2307692307695,102.9083034257138,13,1981 to 2000,2880.0,Standard Price
67,78958091,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78958091/,2890.0,34.65,1991,4.0,4.0,東京都練馬区貫井２-23-3,中村橋駅,8.0,25,1,LDK,0.635,0.5,0.5,0.635,0.65,0.75,0.815,0.75,0.815,0.7,0.935,0.8999999999999999,0.95,0.95,0.95,35.740166,139.633301,5344.0,97.8775212434754,5,1981 to 2000,3335.0,Good Deal
68,79071565,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79071565/,2799.0,37.89,1991,3.0,5.0,東京都練馬区南田中５-3-20,練馬高野台駅,6.0,23,1,LDK,0.685,0.6000000000000001,0.65,,,0.765,0.8,0.75,,,0.95,0.95,0.95,,,35.737915,139.614731,5037.533333333334,84.19921665690465,15,1981 to 2000,2799.0,Standard Price
